epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
86,9781.54,0.83382,0.68744,0.94815,0.6995,0.65094,0.67116,0.49647,1.00725,0.86631,0.9912,0.000402084,0.000402084,0.000402084
87,11045.9,0.83746,0.68776,0.9487,0.70031,0.65013,0.67194,0.49683,1.00686,0.86592,0.99085,0.000391966,0.000391966,0.000391966
88,12329.2,0.83518,0.6862,0.9487,0.69961,0.65144,0.67226,0.49734,1.00629,0.86531,0.99069,0.000381899,0.000381899,0.000381899
89,13602.9,0.83794,0.68919,0.95048,0.69994,0.65231,0.67265,0.49762,1.00578,0.8646,0.99049,0.000371885,0.000371885,0.000371885
90,15016.7,0.83834,0.68948,0.95024,0.69942,0.65416,0.67271,0.49813,1.00517,0.86416,0.99023,0.000361929,0.000361929,0.000361929
91,16268.2,0.84144,0.69197,0.95165,0.69965,0.65433,0.67304,0.49845,1.0046,0.86358,0.98993,0.000352037,0.000352037,0.000352037
92,17538.2,0.8427,0.69111,0.95172,0.69748,0.65608,0.67351,0.49874,1.00371,0.86305,0.98937,0.000342211,0.000342211,0.000342211
93,18787.4,0.84496,0.694,0.95333,0.69827,0.6561,0.67398,0.4989,1.00266,0.86242,0.98866,0.000332457,0.000332457,0.000332457
94,20021.5,0.8401,0.68913,0.95056,0.7,0.65544,0.67434,0.49938,1.00181,0.86168,0.98813,0.000322778,0.000322778,0.000322778
95,1325.99,0.77753,0.63733,0.92708,0.7006,0.65453,0.67416,0.49941,1.00255,0.8618,0.98842,0.00031318,0.00031318,0.00031318
96,2648.02,0.78361,0.64041,0.92887,0.70186,0.65427,0.67443,0.49929,1.0032,0.86163,0.98879,0.000303665,0.000303665,0.000303665
97,3953.54,0.80003,0.65075,0.9347,0.70456,0.65226,0.67463,0.49937,1.00401,0.86165,0.98919,0.000294239,0.000294239,0.000294239
98,5262.33,0.8064,0.65746,0.93808,0.70592,0.65139,0.67456,0.49922,1.00457,0.86183,0.98935,0.000284906,0.000284906,0.000284906
99,6569,0.8037,0.65592,0.9372,0.70685,0.65153,0.67469,0.49909,1.00487,0.86169,0.98953,0.000275668,0.000275668,0.000275668
100,1367.66,0.7674,0.62752,0.92369,0.7064,0.65191,0.67447,0.49907,1.00542,0.86193,0.98989,0.000266532,0.000266532,0.000266532
101,2723.1,0.77441,0.63104,0.92565,0.70549,0.65294,0.67419,0.49892,1.00614,0.86216,0.99028,0.0002575,0.0002575,0.0002575
102,4094.66,0.79236,0.64296,0.93185,0.70605,0.65188,0.67423,0.49895,1.00672,0.86222,0.99052,0.000248577,0.000248577,0.000248577
103,5464.56,0.79984,0.65071,0.93593,0.70614,0.65217,0.67434,0.49874,1.00715,0.86245,0.99061,0.000239766,0.000239766,0.000239766
104,6833.95,0.79752,0.6498,0.93489,0.70723,0.65128,0.67423,0.49854,1.00783,0.86244,0.99084,0.000231071,0.000231071,0.000231071
105,8204.07,0.80365,0.65415,0.93664,0.70772,0.65134,0.67443,0.49867,1.0081,0.8625,0.991,0.000222497,0.000222497,0.000222497
106,9575.93,0.80659,0.65681,0.93839,0.70725,0.65133,0.67457,0.49876,1.0083,0.86253,0.991,0.000214046,0.000214046,0.000214046
107,10944.2,0.8034,0.65292,0.93733,0.70664,0.65112,0.67485,0.49878,1.00839,0.86215,0.99105,0.000205723,0.000205723,0.000205723
108,12313.3,0.808,0.65491,0.9386,0.70609,0.6514,0.67471,0.49864,1.00834,0.86187,0.99101,0.000197532,0.000197532,0.000197532
109,13681.8,0.80817,0.65543,0.93918,0.70495,0.65198,0.67466,0.49888,1.00826,0.86161,0.99093,0.000189475,0.000189475,0.000189475
110,15052.9,0.81196,0.65968,0.94074,0.70401,0.65282,0.67481,0.499,1.00813,0.86141,0.99073,0.000181557,0.000181557,0.000181557
111,16423.9,0.81424,0.66227,0.94136,0.70722,0.65166,0.67529,0.49927,1.00783,0.86118,0.99055,0.00017378,0.00017378,0.00017378
112,17794.2,0.81832,0.66602,0.94352,0.70611,0.65205,0.67523,0.49904,1.0077,0.8609,0.99033,0.000166149,0.000166149,0.000166149
113,19166.5,0.82172,0.66813,0.94501,0.70808,0.65139,0.67549,0.49955,1.00721,0.86027,0.98998,0.000158667,0.000158667,0.000158667
114,20551.4,0.82608,0.67247,0.94721,0.70706,0.65154,0.67566,0.49936,1.0067,0.86008,0.98958,0.000151336,0.000151336,0.000151336
115,1280.63,0.74989,0.60823,0.91791,0.70835,0.65106,0.67549,0.4992,1.00743,0.86035,0.98996,0.000144161,0.000144161,0.000144161
116,2541.06,0.75438,0.60887,0.91891,0.70716,0.65097,0.67542,0.49901,1.00814,0.86062,0.9904,0.000137143,0.000137143,0.000137143
117,3814.47,0.77,0.61976,0.9244,0.70762,0.65015,0.67523,0.49879,1.00899,0.86103,0.99084,0.000130287,0.000130287,0.000130287
118,5199.11,0.77736,0.62734,0.92819,0.70956,0.64937,0.67522,0.49886,1.00943,0.86121,0.99107,0.000123596,0.000123596,0.000123596
119,6485.77,0.7771,0.62799,0.92796,0.7076,0.65073,0.6752,0.4988,1.01002,0.86135,0.99143,0.000117072,0.000117072,0.000117072
120,7743.19,0.78326,0.63264,0.92951,0.70747,0.65047,0.67499,0.49841,1.0105,0.86146,0.99154,0.000110718,0.000110718,0.000110718
121,9005.23,0.7873,0.63652,0.93177,0.70756,0.65036,0.67487,0.49837,1.01067,0.86143,0.99173,0.000104537,0.000104537,0.000104537
122,10273.5,0.78599,0.63441,0.93129,0.707,0.65057,0.67466,0.49834,1.01087,0.86141,0.99181,9.85311e-05,9.85311e-05,9.85311e-05
123,11543.2,0.79155,0.63789,0.93278,0.70618,0.64972,0.67456,0.49845,1.01093,0.8614,0.99168,9.2704e-05,9.2704e-05,9.2704e-05
124,12813.5,0.7929,0.63934,0.93388,0.70583,0.65079,0.67461,0.49851,1.01084,0.86144,0.99162,8.70577e-05,8.70577e-05,8.70577e-05
125,14087.3,0.79767,0.64498,0.93562,0.70556,0.65131,0.67484,0.49871,1.01068,0.86128,0.99145,8.15947e-05,8.15947e-05,8.15947e-05
126,1255.35,0.73888,0.59756,0.91454,0.70634,0.65061,0.67468,0.49839,1.01131,0.86168,0.99186,7.63174e-05,7.63174e-05,7.63174e-05
127,2489.16,0.74274,0.59748,0.91528,0.70577,0.65014,0.67452,0.49819,1.01196,0.86214,0.9923,7.12282e-05,7.12282e-05,7.12282e-05
128,3723.36,0.75832,0.60839,0.92056,0.70668,0.64908,0.67432,0.49782,1.01264,0.86257,0.99268,6.63292e-05,6.63292e-05,6.63292e-05
129,4949.49,0.76597,0.61632,0.9245,0.70795,0.64794,0.67406,0.49778,1.01336,0.86295,0.99303,6.16227e-05,6.16227e-05,6.16227e-05
130,6177.89,0.76663,0.61776,0.92463,0.70626,0.64918,0.67403,0.49796,1.01368,0.863,0.99319,5.71106e-05,5.71106e-05,5.71106e-05
131,7409.63,0.77402,0.62351,0.92657,0.70643,0.64868,0.67369,0.49765,1.0142,0.86323,0.99339,5.2795e-05,5.2795e-05,5.2795e-05
132,8641.41,0.77876,0.62831,0.92893,0.70789,0.64791,0.67359,0.49754,1.01449,0.86336,0.99355,4.86777e-05,4.86777e-05,4.86777e-05
133,9868.58,0.77881,0.62717,0.92892,0.70817,0.64773,0.67357,0.49723,1.01484,0.86345,0.99362,4.47606e-05,4.47606e-05,4.47606e-05
134,11108.2,0.7854,0.63181,0.93098,0.71008,0.64674,0.67347,0.49721,1.01498,0.86345,0.99362,4.10454e-05,4.10454e-05,4.10454e-05
135,12346.3,0.78815,0.63465,0.93246,0.71034,0.64749,0.67354,0.49717,1.01497,0.86343,0.99356,3.75337e-05,3.75337e-05,3.75337e-05
136,13496.4,0.73699,0.59531,0.9124,0.70952,0.64819,0.67367,0.4972,1.01508,0.86357,0.99357,3.4227e-05,3.4227e-05,3.4227e-05
